epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.103,1.23057,1.54925,1.23224,0.94828,0.92964,0.95876,0.57642,1.32009,0.79532,1.24958,0.00333082,0.00333082,0.00333082
2,709.487,1.22348,0.83943,1.21746,0.95497,0.91323,0.94929,0.55519,1.4075,0.71339,1.3245,0.00652378,0.00652378,0.00652378
3,1058.78,1.26723,0.80793,1.25468,0.92491,0.88462,0.93107,0.55319,1.46652,0.75227,1.37478,0.00957631,0.00957631,0.00957631
4,1410.31,1.27329,0.78323,1.27563,0.92669,0.90717,0.94437,0.58058,1.37497,0.68717,1.34549,0.00936809,0.00936809,0.00936809
5,1761.3,1.23858,0.7257,1.2545,0.96244,0.9133,0.95954,0.61955,1.28036,0.59514,1.26995,0.00915745,0.00915745,0.00915745
6,2111.22,1.21715,0.68431,1.24057,0.97504,0.93458,0.96826,0.61828,1.29888,0.55174,1.27068,0.00894681,0.00894681,0.00894681
7,2463.13,1.19617,0.6602,1.22429,0.97545,0.93172,0.96815,0.63928,1.23601,0.55976,1.23507,0.00873617,0.00873617,0.00873617
8,2810.29,1.1807,0.64255,1.2215,0.96868,0.93715,0.96737,0.636,1.26237,0.51382,1.23906,0.00852553,0.00852553,0.00852553
9,3154.41,1.16486,0.62081,1.20906,0.97161,0.94694,0.97095,0.63705,1.24779,0.49876,1.23028,0.00831489,0.00831489,0.00831489
10,3500.63,1.14654,0.60193,1.20049,0.97177,0.94043,0.97227,0.65629,1.19789,0.49119,1.1992,0.00810426,0.00810426,0.00810426
11,3847.94,1.14263,0.59593,1.19936,0.97381,0.94278,0.97557,0.66313,1.18286,0.4854,1.19492,0.00789362,0.00789362,0.00789362
12,4196.17,1.13004,0.58082,1.18992,0.97628,0.94609,0.9778,0.66036,1.21627,0.46642,1.20424,0.00768298,0.00768298,0.00768298
13,4542.31,1.12219,0.5715,1.18518,0.96876,0.95497,0.97733,0.67125,1.159,0.46347,1.18917,0.00747234,0.00747234,0.00747234
14,4887.72,1.11881,0.56577,1.18618,0.9794,0.94606,0.97809,0.67359,1.16583,0.45279,1.18132,0.0072617,0.0072617,0.0072617
15,5240.91,1.10844,0.55375,1.17442,0.96767,0.95476,0.97616,0.66874,1.16942,0.44897,1.18443,0.00705106,0.00705106,0.00705106
16,5589,1.1044,0.54679,1.17242,0.97268,0.95199,0.97775,0.66595,1.18556,0.44243,1.18778,0.00684043,0.00684043,0.00684043
17,5937.84,1.09495,0.53935,1.16895,0.97235,0.94981,0.97689,0.67204,1.17931,0.43632,1.18572,0.00662979,0.00662979,0.00662979
18,6285.84,1.08863,0.53103,1.16576,0.97243,0.9545,0.97826,0.67914,1.15896,0.42942,1.17719,0.00641915,0.00641915,0.00641915
19,6634.47,1.08119,0.53066,1.15957,0.97958,0.95169,0.98001,0.68722,1.13757,0.42397,1.16079,0.00620851,0.00620851,0.00620851
20,6985.61,1.078,0.52144,1.15621,0.97342,0.95028,0.97869,0.68426,1.14444,0.41631,1.16101,0.00599787,0.00599787,0.00599787
21,7334.46,1.07406,0.51956,1.15589,0.96912,0.95356,0.97745,0.69147,1.13275,0.41341,1.15927,0.00578723,0.00578723,0.00578723
22,7684.57,1.06596,0.51158,1.15064,0.96928,0.95919,0.97825,0.68869,1.1311,0.41756,1.15638,0.0055766,0.0055766,0.0055766
23,8036.44,1.06318,0.50642,1.14712,0.9734,0.9545,0.97872,0.6911,1.13077,0.40706,1.15927,0.00536596,0.00536596,0.00536596
24,8387.59,1.04895,0.49613,1.14001,0.9725,0.9606,0.97954,0.69231,1.13036,0.40155,1.15256,0.00515532,0.00515532,0.00515532
25,8738.94,1.04393,0.49125,1.13757,0.96927,0.96175,0.98088,0.69433,1.11832,0.40047,1.15171,0.00494468,0.00494468,0.00494468
26,9086.64,1.0481,0.48766,1.14082,0.97652,0.95585,0.97992,0.6922,1.1259,0.40227,1.15938,0.00473404,0.00473404,0.00473404
27,9435.3,1.03285,0.48569,1.13186,0.9742,0.95642,0.98112,0.69839,1.11764,0.39826,1.1486,0.0045234,0.0045234,0.0045234
28,9786.3,1.03007,0.47867,1.13268,0.97625,0.96416,0.98239,0.69847,1.11618,0.39019,1.14678,0.00431277,0.00431277,0.00431277
29,10138,1.02733,0.47443,1.13088,0.97992,0.96137,0.98093,0.69387,1.11802,0.39037,1.14921,0.00410213,0.00410213,0.00410213
30,10489.5,1.02088,0.47055,1.12834,0.97917,0.95732,0.98098,0.69742,1.11644,0.38627,1.1476,0.00389149,0.00389149,0.00389149
31,10840.2,1.01138,0.46324,1.11865,0.98052,0.95497,0.98112,0.69979,1.11133,0.38358,1.14175,0.00368085,0.00368085,0.00368085
32,11188,1.00885,0.45983,1.11624,0.98039,0.9606,0.98326,0.6998,1.10919,0.38219,1.14179,0.00347021,0.00347021,0.00347021
33,11533.7,1.00081,0.45241,1.11096,0.97779,0.96154,0.98335,0.70162,1.10729,0.3799,1.14049,0.00325957,0.00325957,0.00325957
34,11879.6,0.99428,0.44713,1.11125,0.97236,0.96764,0.98359,0.70139,1.11133,0.37821,1.14243,0.00304894,0.00304894,0.00304894
35,12226.5,0.99311,0.446,1.10648,0.97089,0.96979,0.98285,0.70166,1.10867,0.37964,1.14029,0.0028383,0.0028383,0.0028383
36,12572.5,0.98423,0.43961,1.10151,0.969,0.97045,0.98298,0.70414,1.10697,0.37767,1.13825,0.00262766,0.00262766,0.00262766
37,12921.4,0.97851,0.43587,1.10441,0.98061,0.95826,0.98204,0.70619,1.10307,0.37573,1.13609,0.00241702,0.00241702,0.00241702
38,13262.2,0.96014,0.36934,1.12593,0.9824,0.95872,0.9826,0.70655,1.10141,0.37425,1.13502,0.00220638,0.00220638,0.00220638
39,13598.3,0.95027,0.36452,1.11961,0.97702,0.96388,0.98345,0.70666,1.10152,0.37406,1.13595,0.00199574,0.00199574,0.00199574
40,13933.9,0.94149,0.35542,1.11495,0.97329,0.96904,0.98387,0.70884,1.1011,0.37282,1.13635,0.00178511,0.00178511,0.00178511
41,14269.6,0.93236,0.35115,1.10943,0.98364,0.95732,0.9838,0.70907,1.10018,0.3716,1.13784,0.00157447,0.00157447,0.00157447
42,14603.4,0.92611,0.34692,1.10708,0.98381,0.95732,0.98398,0.70938,1.10063,0.36952,1.13965,0.00136383,0.00136383,0.00136383
43,14938.1,0.91826,0.34115,1.09944,0.98397,0.95685,0.9843,0.7076,1.10153,0.36944,1.14059,0.00115319,0.00115319,0.00115319
